district,commodity,year,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16
Balaka,Maize,2021,0.9466399282220345,0.7404825081908744,0.47583559723379987,0.02947922271036152,0.6326815485531901,0.3569615356833299,0.5716908016232577,0.05330573386117177,0.742574835529409,0.8167892662396088,0.11980646395917582,0.24700757983171073,0.5281559886649863,0.4268675071088208,0.7727815594091324,0.766344408210236
Balaka,Maize,2022,0.1261144307611607,0.41665565169775376,0.9000885420328617,0.31024351314676046,0.7326959820460794,0.38760334241459804,0.8825448966066048,0.5935195532386448,0.9105143821023429,0.4041094207672026,0.6246299939919313,0.5276232832900215,0.20065177127085332,0.9535152891686538,0.18407424362606772,0.12436963142811042
Balaka,Maize,2023,0.5092577753725974,0.9975013945605115,0.6899486449375979,0.35992230751145704,0.8648460589007498,0.010300900106111066,0.13449782703753543,0.01462866279592745,0.016083045385122063,0.7021303173262429,0.6388091479368725,0.2769575649627537,0.2788548234219679,0.7540325887329358,0.503167993434047,0.23099181152389037
Balaka,Maize,2024,0.35452271120627954,0.4004880386905362,0.7449942362506627,0.1516819548408792,0.6097380702179952,0.968389203773701,0.8686239848219406,0.3067580296913772,0.7965302312262517,0.4362801510704363,0.9441717078059456,0.1589388515928134,0.9515263434962092,0.6837718661365229,0.25399844129658267,0.2707965778383352
Balaka,Maize,2025,0.8452675368259823,0.09670077242076214,0.8502527203701866,0.4772642037147722,0.609199598138997,0.0721344949492474,0.9458493508408156,0.41677286707093397,0.6724192032611827,0.9097993687685672,0.9399038475873931,0.9819967436979894,0.40201071976992586,0.05517444686875328,0.4725611273211038,0.750167508138466
Balaka,Rice,2021,0.014786405772381217,0.5281782776973776,0.7729120312942442,0.7563362185716763,0.862143016323663,0.88738852193027,0.22895956695570252,0.1743982150610105,0.4931758010288303,0.761831222249015,0.8653371097284508,0.37002709594014926,0.3481781364778601,0.41142211799140493,0.9927891052804692,0.4975822465953226
Balaka,Rice,2022,0.6394402116357415,0.19883135734388624,0.1525227571657407,0.8518648687116049,0.8102919979398396,0.13687835542637872,0.9942564219481169,0.8020793446328919,0.5673150772702489,0.8241096765784304,0.8361738384528973,0.02803645208789718,0.4196179401862623,0.9975943931156445,0.03689663727633552,0.20343334884975628
Balaka,Rice,2023,0.7511428155328849,0.2992166283425035,0.7565774086754449,0.8503800532640157,0.4903073111926608,0.3516494445543583,0.9368592211148236,0.2181866577433753,0.6038120835221498,0.46474405823583476,0.9345574177905552,0.07113324619872552,0.05528900175592466,0.7697871448998254,0.2968505646759233,0.6632388697215424
Balaka,Rice,2024,0.23728115113342063,0.14569020523877374,0.7508905007725902,0.09492067176293717,0.1425085496906795,0.48996949907629705,0.21497374212053955,0.5506169699343926,0.10464432886036834,0.6363389355900195,0.4823716152961509,0.26095976513433394,0.9015570548380271,0.9997772763572736,0.1856812600270702,0.41698647671120015
Balaka,Rice,2025,0.40064565336419444,0.22914244602795175,0.4872772408200331,0.8785263887613795,0.36581828482247936,0.3463781848492484,0.2484771801543334,0.13858252102043522,0.6174505758688235,0.297648387303558,0.9279427290945264,0.4345043738984381,0.4107521016741391,0.8748119197448184,0.8310020234360345,0.6384541611667065
